Date,Num_dev,Num_Val,%val
01/11/2022,4580,3,0.066
02/11/2022,6615,264,3.991
03/11/2022,9875,450,4.557
04/11/2022,3846,64,1.664
05/11/2022,7362,294,3.993
06/11/2022,5937,252,4.245
07/11/2022,7262,182,2.506
08/11/2022,2763,0,0.000
09/11/2022,5948,107,1.799
10/11/2022,4925,0,0.000
11/11/2022,8374,8,0.096
12/11/2022,7251,77,1.062
13/11/2022,7463,308,4.127
14/11/2022,5637,109,1.934
15/11/2022,6976,2,0.029
16/11/2022,7160,14,0.196
17/11/2022,8331,136,1.632
18/11/2022,9273,0,0.000
19/11/2022,3756,81,2.157
20/11/2022,1347,18,1.336
21/11/2022,331,0,0.000
22/11/2022,0,0,0.000
23/11/2022,8126,111,1.366
24/11/2022,2118,0,0.000
25/11/2022,3702,1,0.027
26/11/2022,6345,217,3.420
27/11/2022,9600,40,0.417
28/11/2022,7439,176,2.366
29/11/2022,5787,180,3.110
30/11/2022,8816,77,0.873